SMILES,Voltage
Clc1c([H])c([H])c(Cl)c2c1C(=O)C([H])=C([H])C2=O,2.663036879
O=c1c(Cl)c([H])c(=O)c2c(=O)c(Cl)c(Cl)c(=O)c1=2,3.655935149
[Li]OC(C1=C(C(O[Li])(O[Li])[H])SC(=C2SC(C(O[Li])(O[Li])[H])=C(C(O[Li])(O[Li])[H])S2)S1)(O[Li])[H],1.2
Fc1c([H])c(S[Li])c(F)c([H])c1S[Li],2.4
C(Oc1c(OC([H])([H])[H])c([H])c([H])c2c([H])c(OC([H])([H])[H])c3c(c12)C(OC([H])([H])[H])=C(OC([H])([H])[H])C(=N\S(=O)(=O)C([H])([H])[H])/C3=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.670669933
C(c1c(-c2c(C([H])([H])[H])n([H])c3c2c([H])c([H])c([H])c3[H])c2c(n1[H])c([H])c([H])c([H])c2[H])([H])([H])[H],2.7
[Li]OC(O[Li])=c1c([H])c([H])c(=C(O[Li])O[Li])c([H])c1[H],0.8
C(S(=O)(=O)/N=C1\C([H])=C(N([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c1c1c(c([H])c2[H])c(N([H])[H])c([H])c(N([H])[H])c1N([H])[H])([H])([H])[H],2.420227092
O=C(O[Li])c1c([H])c(N(c2c([H])c([H])c([H])c([H])c2[H])[H])c(C(O[Li])=O)c([H])c1N(c1c([H])c([H])c([H])c([H])c1[H])[H],3.2
O=C1c2c3c4c([H])c([H])c5c3c(c([H])c2[H])C(=O)N(C5=O)[C@]2([H])[C@@]([H])(N3C(=O)c5c6c7c(c([H])c([H])c6C3=O)C(=O)N([C@]3([H])[C@@]([H])(N6C(=O)c8c9c%10c(c([H])c8[H])C(=O)N([C@]8([H])[C@@]([H])(N1C4=O)C([H])([H])C([H])([H])C([H])([H])C8([H])[H])C(=O)c%10c([H])c([H])c9C6=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C(=O)c7c([H])c5[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],2.38
C(S(=O)(=O)/N=C1\C(F)=C(F)/C(=N\S(=O)(=O)C([H])([H])[H])c2c1c(F)c(F)c(F)c2F)([H])([H])[H],2.887610098
C(Oc1c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2c1-c1c(c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1OC([H])([H])[H])C(=N\S(=O)(=O)C([H])([H])[H])/C2=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.222313137
C(Oc1c([H])c([H])c2c(c1[H])c1c(=O)c3c(c(=O)c=1c(=O)c2=O)c([H])c(OC([H])([H])[H])c([H])c3[H])([H])([H])[H],2.894451332
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C([H])=C([H])c2c([H])c(F)c3c(c2\1)c([H])c([H])c([H])c3[H])([H])([H])[H],2.834047178
C(N(C([H])([H])[H])c1c([H])c([H])c(N(N(c2c(C(O[Na])=O)c([H])c([H])c([H])c2[H])[Li])[Li])c([H])c1[H])([H])([H])[H],1.6
C(Oc1c([H])c([H])c([H])c2c1C(=O)c1c(c(OC([H])([H])[H])c([H])c([H])c1[H])C2=O)([H])([H])[H],2.000210713
C(Oc1c(OC([H])([H])[H])c(=O)c(=O)c2c([H])c([H])c(=O)c(=O)c1=2)([H])([H])[H],3.380843134
C(S(=O)(=O)/N=C1\C(N([H])[H])=C(N([H])[H])c2c(c([H])c([H])c3c2c([H])c([H])c(N([H])[H])c3[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.379899797
O=C1C(=O)C([H])=C(OC([H])([H])[H])c2c1c([H])c([H])c([H])c2[H],2.337370843
O=C1C([H])=C([H])C(=O)c2c1c([H])c([H])c([H])c2[H],2.33
c1([H])c(N([H])[H])c([H])c([H])c2c1C(=O)c1c(c([H])c(N([H])[H])c([H])c1[H])C2=O,1.856342953
C(C1=C2C([H])=C([H])N([H])C(=O)C(=O)C(=O)SC(=N2)C1=O)([H])([H])[H],2.934
O=S(C(F)(F)F)(N=C1C([H])=C([H])C(=NS(C(F)(F)F)(=O)=O)C([H])=C1[H])=O,3.5
O=C1c2c([H])c([H])c([H])c([H])c2C(=O)c2c([H])c([H])c([H])c([H])c21,2.08
Clc1c(Cl)c(Cl)c(Cl)c2c1C(=O)C([H])=C([H])C2=O,2.794261134
O=c1c(=O)c(Cl)c([H])c2c1c1c(c(Cl)c2[H])c(=O)c([H])c([H])c1=O,2.956902583
N#Cc1c([H])c([H])c(C#N)c([H])c1[H],1.7
C(C1=C([H])C(=O)C([H])=C([H])C1=O)([H])([H])[H],2.708055419
C(c1c([H])c2c(c([H])c1C([H])([H])[H])c([H])c(C([H])([H])[H])c1c2C(=N/S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C(C([H])([H])[H])=C1[H])([H])([H])[H],2.622897599
c1([H])c([H])c(Cl)c([H])c2c1-c1c(c([H])c(Cl)c([H])c1[H])C(=O)C2=O,2.682193704
N(c1c([H])c([H])c([H])c2c1C(=O)c1c(c([H])c([H])c([H])c1N([H])[H])C2=O)([H])[H],2.042930434
O=C1C(=O)C([H])=c2c([H])c3c([H])c([H])c([H])c([H])c3c([H])c2=C1[H],3.47
O=C1C([H])([H])C(C(F)(F)F)([H])C(=O)C([H])=C1C(F)(F)F,3.0
C(Oc1c(OC([H])([H])[H])c([H])c([H])c2c1C(=N\S(=O)(=O)C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c1c-2c([H])c(OC([H])([H])[H])c([H])c1OC([H])([H])[H])([H])([H])[H],2.345156281
O=C1c2c(c([H])c([H])c([H])c2[H])C(=O)C(Sc2c([H])c([H])c(SC3=C([H])C(=O)c4c(c([H])c([H])c([H])c4[H])C3=O)c([H])c2[H])=C1[H],2.6
