SMILEScsa,VoltageCSA
CC1=C(C)/C(=N/S(=O)(=O)C)C=C(C)C\1=N/S(=O)(=O)C,2.672944806
CC1=C(C)/C(=N/S(=O)(=O)C)C=CC\1=N/S(=O)(=O)C,2.936623272
CC1=CC(=N/S(=O)(=O)C)\C(C)=CC\1=N\S(=O)(=O)C,2.932900752
CC1=CC(=NS(=O)(=O)C)C=C(C)C1=NS(=O)(=O)C,2.7662146
CC1=C/C(=N/S(=O)(=O)C)C=CC\1=N/S(=O)(=O)C,3.000526523
CC1=C(C)C(=NS(=O)(=O)C)C(C)=C(C)C1=NS(=O)(=O)C,2.521562345
CS(=O)(=O)N=C1C=CC(C=C1)=NS(=O)(=O)C,3.065463808
CS(=O)(=O)\N=C1\C(Cl)=C(Cl)/C(C=C1Cl)=N/S(=O)(=O)C,3.142602685
CS(=O)(=O)\N=C\1C=CC(\C(Cl)=C1Cl)=N/S(=O)(=O)C,3.180034687
CS(=O)(=O)/N=C1\C(Cl)=CC(\C(Cl)=C1)=N/S(=O)(=O)C,3.196579218
CS(=O)(=O)N=C1C(Cl)=CC(C=C1Cl)=NS(=O)(=O)C,3.13433042
CS(=O)(=O)\N=C1\C(Cl)=C/C(C=C1)=N/S(=O)(=O)C,3.137432519
CS(=O)(=O)N=C1C(Cl)=C(Cl)C(C(Cl)=C1Cl)=NS(=O)(=O)C,3.098346064
N#CC1=C(C#N)/C(=N/S(=O)(=O)C)C=C(C#N)C\1=N/S(=O)(=O)C,3.785978142
N#CC1=C(C#N)/C(=N/S(=O)(=O)C)C=CC\1=N/S(=O)(=O)C,3.62301451
N#CC1=CC(=N/S(=O)(=O)C)\C(C#N)=CC\1=N\S(=O)(=O)C,3.582273602
N#CC1=CC(=NS(=O)(=O)C)C=C(C#N)C1=NS(=O)(=O)C,3.590752674
N#CC1=C/C(=N/S(=O)(=O)C)C=CC\1=N/S(=O)(=O)C,3.330589921
N#CC1=C(C#N)C(=NS(=O)(=O)C)C(C#N)=C(C#N)C1=NS(=O)(=O)C,3.98120361
CS(=O)(=O)\N=C1\C(F)=C(F)/C(C=C1F)=N/S(=O)(=O)C,3.218914335
