SMILESquinone,VoltageQuinone
Nc1ccc(N)c(c12)C(=O)c3c(C2=O)c(N)ccc3N,1.748298456
Cc1c(C)c(C)c(C)c(c12)C(=O)c3c(C2=O)c(C)c(C)c(C)c3C,1.775501149
COc1ccc(OC)c2C(=O)C(=O)c(c3c12)c(OC)ccc3OC,1.800021885
O=C1C(N)=C(N)C(=O)c(c12)c(N)ccc2N,1.843124743
c1c(N)ccc(c12)C(=O)c3c(C2=O)ccc(c3)N,1.856342953
Nc1ccc(N)c(c12)C(=O)c3c(C2=O)c(N)ccc3,1.876840756
Nc1ccc(N)c(c1c23)C(=O)C(=O)c2c(N)ccc3N,1.886993874
c1c(N)ccc(c12)C(=O)c3c(C2=O)cc(N)cc3,1.897721696
c1c(N)ccc(c12)C(=O)C(N)=C(C2=O)N,1.927223207
c1c(N)ccc(c1c23)C(=O)C(=O)c2ccc(c3)N,1.930863004
COc1cc(OC)cc(c12)C(=O)c3c(C2=O)c(OC)cc(c3)OC,1.931054572
Nc1cccc(c12)C(=O)c3c(C2=O)cc(N)cc3,1.947912579
Nc1cccc(c12)C(=O)c3c(C2=O)ccc(c3)N,1.969559792
COc1cccc(c12)c3c(C(=O)C2=O)c(OC)ccc3,1.971283906
Nc1cc(N)cc(c12)C(=O)c3c(C2=O)cccc3,1.972241747
Nc1ccc(N)c(c12)C(=O)c3c(C2=O)cccc3,1.981053887
COc(c1)c(OC)cc(c12)C(=O)c3c(C2=O)cc(OC)c(c3)OC,1.993697392
COc1ccc(OC)c(c12)C(=O)c3c(C2=O)c(OC)ccc3OC,2.000019145
COc1cccc(c12)C(=O)c3c(C2=O)cccc3OC,2.000210713
c12c3c4c(=O)c(=O)c1c(N)ccc2ccc3ccc4N,2.003467373
COc1c(OC)c(OC)cc(c12)C(=O)c3c(C2=O)cc(OC)c(c3)OC,2.006340897
Cc1ccc(C)c2C(=O)C(=O)c(c3c12)c(C)ccc3C,2.01151324
O=C1C(N)=C(N)C(=O)c(c12)cccc2N,2.012662649
COc1cccc(c12)C(=O)c3c(C2=O)c(OC)ccc3,2.016685583
c1c(N)ccc(c12)C(N)=CC(=O)C2=O,2.020900084
Nc1cccc(c12)C(=O)c3c(C2=O)cccc3N,2.024923018
c1c(N)c(N)cc(c12)C(=O)c3c(C2=O)cccc3,2.028754383
COc1c(OC)cc(OC)c(c12)C(=O)c3c(C2=O)cccc3,2.032968885
c1cccc(c2N)c1cc(c23)C(=O)c4c(C3=O)cccc4,2.034692999
COc1ccc(OC)c(c12)cc3c(c2)C(=O)c4c(C3=O)cccc4,2.036991818
Cc(c1)c(C)cc(c12)C(=O)c3c(C2=O)cc(C)c(C)c3,2.037183386
Cc1ccc(C)c(c12)C(=O)c3c(C2=O)c(C)ccc3C,2.038332796
Nc1cccc(c12)C(=O)c3c(C2=O)c(N)ccc3,2.042930434
Cc(c1)c(C)cc(C2=O)c1C(=O)c(c23)c(C)ccc3C,2.046187094
COc1cc(OC)cc(c12)C(=O)c3c(C2=O)ccc(c3)OC,2.047911209
Nc1c(N)ccc(c12)C(=O)c3c(C2=O)cccc3,2.057489621
COC(C1=O)=C(OC)C(=O)c(c12)cc(OC)cc2OC,2.059213736
Cc1cc(C)cc(c12)C(=O)c3c(C2=O)cc(C)cc3C,2.060363145
COc1cc(OC)cc(c12)C(=O)C=C(C2=O)OC,2.071282536
c1c(N)ccc(c12)C(=O)c3c(C2=O)cccc3,2.080860949
O=C1C(=O)C=C(N)c(c12)cccc2N,2.082393495
COc1c(OC)c(OC)cc(c12)C(=O)c3c(C2=O)ccc(c3)OC,2.088523679
Nc1cccc(c12)c3c(C(=O)C2=O)c(N)ccc3,2.095420136
Cc1c(C)ccc2C(=O)C(=O)c(c3c12)ccc(C)c3C,2.096761114
NC1=CC(=O)C(N)=CC1=O,2.100017774
O=C1C=CC(=O)c(c12)c(N)c(N)c(N)c2N,2.105381685
c1c(N)ccc(c12)C(=O)C=C(C2=O)N,2.123772238
COc(c1)c(OC)cc(c12)C(=O)c3c(C2=O)cccc3,2.125304784
O=C1C(N)=CC(=O)c(c12)cccc2N,2.127412035
COC(C1=O)=C(OC)C(=O)c(c12)cccc2OC,2.128178308
COc(c1)ccc(c12)C(=O)c3c(C2=O)ccc(c3)OC,2.128944581
Cc1cc(C)cc2C(=O)C(=O)c(c3c12)cc(C)cc3C,2.132201241
Cc(c1)ccc(c12)C(=O)c3c(C2=O)ccc(C)c3,2.139480835
COc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.143695337
c1cccc(c12)C(=O)C(N)=C(C2=O)N,2.149442384
COc1cccc(c12)C(=O)C=C(C2=O)OC,2.153656886
c1cc(N)cc(c1c23)C(=O)C(=O)c2cc(N)cc3,2.153656886
Nc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.155381
Cc1c(C)ccc(c12)C(=O)c3c(C2=O)cccc3,2.157488251
COc1cc(OC)cc(c12)C(=O)C(=CC2=O)OC,2.157679819
c1cccc(c2)c1cc(c23)C(=O)c4c(C3=O)cccc4,2.158254524
Cc1ccc(C)c(c12)C(=O)c3c(C2=O)cccc3,2.15978707
Cc(c1)ccc(c12)C(=O)c3c(C2=O)cc(C)cc3,2.161128048
Cc(c1)c(C)cc(c12)C(=O)c3c(C2=O)cccc3,2.161894321
COc(c1)ccc(c12)C(=O)c3c(C2=O)cc(cc3)OC,2.162085889
c12c3c4c(=O)c(=O)c1ccc(N)c2ccc3ccc4,2.16859921
