SMILEScsa,VoltageCSA
Cc1c(C)ccc(c12)/C(=N\S(=O)(=O)C)c3c(C\2=N\S(=O)(=O)C)cccc3,2.228517336
COc1ccc(OC)c(c12)C=C(OC)C(=N/S(=O)(=O)C)\C\2=N\S(=O)(=O)C,2.428499357
N#Cc(c1)c(C#N)c(C#N)c(c1c23)/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c3cccc2C#N,3.194717958
CS(=O)(=O)\N=C\1C=C(N)C(=N/S(=O)(=O)C)\c2cc(N)c(c3c12)cc(N)c(c3)N,2.27504883
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(c2)c1cc(c23)cccc3Cl,2.774486866
CS(=O)(=O)/N=C\1c(ccc(c2)N)c2C(=N\S(=O)(=O)C)\c(c13)ccc(N)c3N,2.056661018
Cc1cc(C)cc2cc(C)c(c=3c12)=CC(=N\S(=O)(=O)C)\C(C3)=N\S(=O)(=O)C,3.003628623
Cc1c(C)c(C)c(C)c(c12)/C(=N\S(=O)(=O)C)/C(C=C2C)=N/S(=O)(=O)C,2.276703283
COc1cc(OC)c(OC)c2cc(OC)c(c3c12)/C(=N/S(=O)(=O)C)/C(=N/S(=O)(=O)C)C(OC)=C3OC,2.412575246
Cc1c(C)c(C)cc2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)c(C)ccc3,2.308137893
Cc1c(C)c(C)c(C)c(c12)cc(C)c=3c2=CC(=N\S(=O)(=O)C)/C(C3)=N\S(=O)(=O)C,2.958751582
CS(=O)(=O)\N=C(C1)\C(=N\S(=O)(=O)C)C=c(c=12)c(F)ccc2F,3.429857108
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c2N)c1c(N)c(c23)ccc(N)c3N,2.287250422
Cc1cccc(c12)c=3c(cc2)=CC(=N/S(=O)(=O)C)/C(C3)=N/S(=O)(=O)C,3.162249316
N#Cc1c(C#N)c(C#N)cc(c12)cc3c(c2C#N)/C(=N/S(=O)(=O)C)/C(C=C3)=N/S(=O)(=O)C,3.257587177
CS(=O)(=O)\N=C(C1)\C(=N/S(=O)(=O)C)\C(F)=c(c=1c23)ccc2cc(F)cc3,3.2333908
CS(=O)(=O)/N=C(\C1Cl)/C(=N\S(=O)(=O)C)C=c(c2Cl)c=1cc(c23)ccc(Cl)c3,3.438129374
COC1=C(OC)C(=N/S(=O)(=O)C)\C(=N/S(=O)(=O)C)\c(c2)c1cc(c23)c(OC)ccc3OC,2.578847784
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=C(N)c(c2)c1cc(c23)cc(N)cc3N,2.243821028
CS(=O)(=O)\N=C\1C(N)=C(N)C(=N/S(=O)(=O)C)\c(c12)cc3c(c2N)cc(N)cc3,2.134833928
COC1=C(OC)C(=N/S(=O)(=O)C)\C(=N/S(=O)(=O)C)\c(c2OC)c1cc(c23)c(OC)cc(OC)c3OC,2.312687639
CS(=O)(=O)N=C1c(c(N)cc(c2)N)c2C(=NS(=O)(=O)C)c(c13)cc(N)cc3N,2.01654053
CS(=O)(=O)\N=C(C(N)=C1N)\C(=N/S(=O)(=O)C)\c2c1cc(N)c(c23)c(N)ccc3N,2.149724006
Nc1cc(N)cc2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)cc(N)cc3,2.384242736
c1cc(C#N)c(C#N)c(c1c23)ccc2C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)/C3=N\S(=O)(=O)C,3.621360057
CS(=O)(=O)/N=C(\C1F)/C(=N\S(=O)(=O)C)C=c(c=12)c(F)c3c(c2F)cc(F)cc3,3.458189618
CS(=O)(=O)\N=C(C=C1F)\C(=N/S(=O)(=O)C)\c(c(F)c2F)c1c(c23)cccc3F,2.947584024
Cc1c(C)c(C)c(C)c2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)c(C)c(C)cc3C,2.211765998
CS(=O)(=O)\N=C\1C(N)=CC(=N/S(=O)(=O)C)\c2c1cc(N)c(c23)c(N)cc(N)c3N,2.315376125
CS(=O)(=O)\N=C\1C=C(C)/C(=N\S(=O)(=O)C)c(c2C)c1c(C)c(c23)cccc3C,2.367284592
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=C(Cl)c(c1c23)c(Cl)cc3ccc(Cl)c2Cl,2.901259336
CS(=O)(=O)\N=C\1C=C(F)C(=N/S(=O)(=O)C)\c(c1c23)cc(F)c2cc(F)c(F)c3F,2.887403291
CS(=O)(=O)\N=C(C=C1N)\C(=N/S(=O)(=O)C)\c(cc2N)c1c(c23)cccc3N,2.400166848
COc1c(OC)c(OC)cc2c(OC)c(OC)c(c=3c12)=CC(=N\S(=O)(=O)C)\C(\C3OC)=N\S(=O)(=O)C,2.772625606
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(c2F)c1cc(c23)cc(F)c(F)c3,2.802612569
COc1c(OC)ccc(c12)cc3c(c2)C=C(OC)C(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.525491671
CS(=O)(=O)\N=C\1C(N)=C(N)C(=N/S(=O)(=O)C)\c(c12)cc3c(c2N)cc(N)c(N)c3N,2.127595696
c1cc(C)cc(c12)C=CC(=N/S(=O)(=O)C)\C\2=N\S(=O)(=O)C,2.590428956
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc(c12)cc3c(c2N)cccc3N,2.351153674
CS(=O)(=O)/N=C\1/C(=N/S(=O)(=O)C)C=C(OC)c(c12)ccc(c2)OC,2.439046496
Cc(c1)c(C)cc(c2)c1cc(c23)C=C(C)/C(=N\S(=O)(=O)C)C\3=N/S(=O)(=O)C,2.553203761
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(cc2OC)c1c(c23)cccc3OC,2.743052257
Cc1c(C)ccc(c12)c3c(cc2C)/C(=N/S(=O)(=O)C)C(\C(C)=C3C)=N\S(=O)(=O)C,2.574298038
CS(=O)(=O)/N=C(C1)\C(=N\S(=O)(=O)C)\C(Cl)=c(c2Cl)c=1cc(c23)c(Cl)c(Cl)c(Cl)c3Cl,3.459016844
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(OC)=C(OC)c(c2OC)c1c(OC)c(c23)cccc3OC,2.481028244
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc(c(N)c2N)c1c(c23)c(N)cc(N)c3N,2.372041144
