SMILESquinone,VoltageQuinone
Clc1c(=O)c(=O)c(Cl)c(c12)c(Cl)cc(=O)c2=O,3.663789448
Cc1ccc(C)c(c12)C(=O)C=CC2=O,2.390243682
c1cccc(c12)C=C(N)C(=O)C2=O,2.47721567
c1cccc(cc2)c1c(c2c34)ccc4C=CC(=O)C3=O,2.553842973
C1C(=O)C(=O)C=c(c=12)c(N)ccc2N,2.898282697
c1c(N)c(N)cc(c(=O)c2=O)c1c(c23)c(=O)c(=O)c4c3cc(N)c(c4)N,2.707480714
COc1c(=O)c(=O)c(OC)c(c12)cc3c(c2)c(=O)ccc3=O,3.247128491
NC1=C(N)C(=O)C=CC1=O,2.403461892
Clc1cccc(c12)C(=O)C=CC2=O,2.616294224
c1c(N)c(N)cc(c12)c3c(cc(=O)c(=O)c3)c4c2cc(=O)c(=O)c4,3.102111321
c12c3c4c(=O)c(=O)c1cc(N)cc2c(=O)c(=O)c3cc(c4)N,2.541582604
O=c1c(=O)ccc(c1c23)ccc3ccc(=O)c2=O,2.771272943
c12c3c4c(=O)c(=O)c1cccc2c(=O)c(=O)c3ccc4,2.818781871
c1cc(C)cc(C2=O)c1C(=O)c3ccc(c4c23)cccc4,2.296375237
Clc1ccc(Cl)c(c12)C(=O)c3c(C2=O)c(Cl)ccc3Cl,2.504609931
c1cccc(c(=O)c2=O)c1c(c23)c(=O)c(=O)c4c3cccc4,3.081805086
c1c(Cl)c(Cl)cc(c1=2)=C(Cl)C(=O)C(=O)C2Cl,3.487738221
O=c1ccc(=O)c(c12)ccc(=O)c2=O,3.473179033
Cc1c(C)c(=O)c(=O)c(c12)c(=O)c(C)c(C)c2=O,3.093107613
Cc1cccc(c12)C(=O)C(=O)C=C2,2.540050058
O=c1ccc(=O)c(c12)c(=O)c3c(c2=O)cccc3,3.203450929
c1c(Cl)ccc(c12)C(=O)c3c(C2=O)cccc3,2.405377574
c12c3c4c(=O)c(=O)c1cccc2ccc3ccc4,2.407101689
O=C1C(=O)C(OC)=Cc(c12)cccc2,2.481047035
Nc1ccc(N)c(c(=O)c2=O)c1c(c23)c(=O)c(=O)c4c3c(N)ccc4N,2.634110072
c1cccc(c1c23)C(=O)C(=O)c2cccc3N,2.300972875
c1c(=O)c(=O)cc(c(Cl)c2)c1c(c23)cc(Cl)c4c3cc(=O)c(=O)c4,3.682946274
COc(c1=O)c(OC)c(=O)c(c12)c(OC)cc(=O)c2=O,3.041001048
COc1cccc(c12)c3c(C(=O)C2=O)c(OC)ccc3,1.971283906
Cc1cccc(c12)C(=O)C=C(C)C2=O,2.375301358
COc1c(OC)c(OC)cc(c12)C(=O)c3c(C2=O)cc(OC)c(c3)OC,2.006340897
COc1c(OC)c(=O)c(=O)c(c12)c(OC)c(c(=O)c2=O)OC,3.008626012
c1c(=O)c(=O)cc(c1c23)c(Cl)cc2c(=O)c(=O)c(Cl)c3,3.736393817
O=C1C(=O)C(Cl)=CC=C1Cl,3.181420579
O=c1c(=O)cc(Cl)c(c12)cc3c(c2)c(=O)c(=O)cc3Cl,3.33295107
Nc1ccc(N)c(c12)C(=O)c3c(C2=O)c(N)ccc3,1.876840756
O=c1ccc(=O)c(c12)cc3c(c2)cc4c(c3)c(=O)ccc4=O,2.820122849
COc1ccc(OC)c2c(C(=O)C=CC3=O)c3c(c4c12)c(OC)ccc4OC,2.177602918
Nc1cccc(c1c23)c4c(C(=O)C=CC4=O)c2cccc3N,2.491200153
Clc1c(=O)c(=O)c(Cl)c(c1c23)ccc2c(Cl)c(=O)c(=O)c3Cl,3.443485954
COc1c(OC)c(=O)c(=O)c(c12)c(=O)c(=O)c3c2cccc3,2.998281327
C1=CC(=O)C(=O)c(c1c23)ccc2cccc3,2.635834186
c1cccc(C(=O)C2=O)c1c(c23)ccc4c3cccc4,2.391201523
Nc1ccc(N)c(c1c23)c(=O)c(=O)c3c(=O)c(=O)c4c2c(N)ccc4N,2.493882109
c1cccc(c12)C(=O)C(Cl)=C(Cl)C2=O,2.763610213
c1cccc(c1c2=3)c4c(cccc4)c2=CC(=O)C(=O)C3Cl,2.971461771
c1cccc(c1c23)C(=O)C(=O)c2cccc3,2.422044013
Clc1c(Cl)c(=O)c(=O)c(c12)ccc(=O)c2=O,3.759765144
O=c1c(=O)c(Cl)cc(cc2Cl)c1c(c23)c(Cl)cc4c3c(=O)c(=O)c(Cl)c4,3.221458345
Cc1ccc(C)c(c12)C(=O)c3c(C2=O)cccc3,2.15978707
C1C(=O)C(=O)C=c(c=12)c(Cl)ccc2Cl,3.315901495
Clc1ccc(Cl)c(c12)C(=O)C(Cl)=C(Cl)C2=O,2.852114747
COc1ccc(OC)c(c1c23)c(=O)c(=O)c3c(=O)c(=O)c4c2c(OC)ccc4OC,2.508441296
