VoltageAnima,SMILESanima
2.9716,CC1=C2C(=O)C(=NC(=O)C2=CC(=N)C1=O)C#C
2.9915,BrC1=NOC2=C(C(=O)C3=NON=C3C2=O)C1=O
3.0476,BrC1=NC2=C3C(O1)=NC=CN=C3C(Br)=NC2=O
3.2469,CC1=C(O)C2=C(SN=N1)C(=O)N=C(C#N)C2=O
3.353,BrC1=CN=C2C(=NC3=NC(=O)C1=C23)C(=O)C#N
3.3181,BrC1=C(C=O)C2=C(C=NC2=O)C2=NC(=O)C=C12
3.3546,CCN=C1N=C(Br)C2=NC(=O)C(=O)C(=O)C2=N1
2.894,CC1=C2C(=NC(=N)C1=O)C(=O)C(=O)C=CC2=N
3.21,BrC1=NOC(C2=NC(=N)C(=O)C2=O)=C(Br)C1=O
3.3311,CCN1C(=N)C2=C(C(=NC2=O)C#N)C(=O)C1=O
3.0448,BrC1=NC2=NC(=O)C(=O)OC3=C2C(ON=C3)=C1
3.213,CC1=CC2=NC3=C(SN=CS3)C(=O)C(=O)C2=N1
2.9979,CC1=NC2=C(C1=N)C(=O)C(=O)N=C(C=O)C2=N
3.2033,BrC1=NC2=C(NC(=NC(=O)S2)C#C)C(=O)C1=O
2.934,CC1=C2C=CNC(=O)C(=O)C(=O)SC(=N2)C1=O
3.0937,BrC1=NC(=O)N=C2C1=CC(Br)=C1N=CSN=C21
3.0835,CC1=NC2=NC(C=O)=NC2=CC(=O)C(=O)C=N1
3.3776,CC1=NC2=NC(=O)C(=N)C(C=O)=C2C(=O)C1=O
2.9845,CC(N=C1C(=N)C(F)=NC(=O)C1=O)(C#N)C#N
2.9412,CC1=CN=C2N=C3N=NSN=C3S(=O)(=O)C2=N1
2.944,ClC1=NC(=N)C(=N)C2=CC(=O)C(=O)C(=O)C=C12
3.0779,BrC1=NN2C=COC(=O)C(=N)N=C2C(=O)C1=O
3.8509,CC1=NOC2=C(O1)C=C(C#N)C(=O)C(=O)C2=O
3.0817,BrC1=NC(=O)C2=C(OC(=O)N=CC(=O)N2)C1=O
3.0003,BrC1=NC(=N)OC(=N1)C1=NSC(=O)C(=O)N=C1
3.2701,CC1=NC(=N)C2=NC(=O)C(=N)C(=O)C(=O)C2=N1
3.1604,CC1=C(Br)C(=O)C(=O)C2=C1C(N)=C(C=O)C2=O
3.2019,CC(C#N)C1=NC(=O)C2=NC(=O)C(=O)C(F)=C12
2.9994,CC(=O)C1=NC(O)=NNC2=NC(=O)C(=O)N=C12
3.0213,BrC1=NN2C=C3N=CC(=O)C(=O)C3=NC2=NO1
2.919,CC1=NC2=NC(=N)C(=N)N=C2C=NC(=N1)C#N
3.2554,BrC1=NC2=CC(=O)C(=N)C(=N)C2=C(C#N)C1=O
3.2785,BrC1=NC2=NC3=NOC(=O)C(=O)C=C3N2N=N1
3.154,CC1=CN=C(/N=C2N=C(N(=O)=O)C(C/2=O)=O)O1
3.0812,CCN=C1C=C2C(=N1)C(=O)C(=O)C(=N)SC2=O
3.9552,CC1=CC2=C(C(=NC2=O)C#C)C(=O)C(=O)C1=O
2.93,BrC1=NN2C(=O)C=NC(=O)C2=NN1C(=O)C#N
3.3153,CCC1=CC(C(O)CC#C)C(=O)C(=O)C1
3.0642,CC1=NSC2=C(O1)C(=O)C1=C2C(=O)C(=O)C1=O
3.054,CC1=C2NC(=O)C(=O)N3N=CC(=O)C(C1=O)=C23
3.0983,CC1=C2NN=C3C(O)=C(O)C(OC=CC1=O)=C23
3.0149,CC1=C2N(N=C(C(=O)C(O)=O)C2=O)C(=O)C1=O
3.0993,CC1=C2ON=NC(=O)C(=O)C2=C(C#N)C(=O)O1
3.1837,CC1=C2SC(S1)=NC(=O)C(=O)N=CC(=O)C2=O
3.1152,CC1=C(Br)C2=C3C(=NOC(=N)C3=N1)C(=O)C2=O
3.1054,CC1=C(Br)N(C(=O)C(=O)S1)C1=NC(=N)SN=N1
3.0268,CC1=CC2=C3C1=C(N)C(=O)OC3=CC(=O)C2=O
3.0161,CC1=CC2=C(C(=N1)C#N)C(=O)C(=O)ON=C2O
3.1643,CC1=CC2=C(SC(C=O)=N1)C(=O)C(=O)C(Br)=N2
3.1352,CC1=CC2=C(SN=N1)C(=O)C(=O)C(=O)S2
3.0346,CC1=CC=CC(=O)C(=O)C2=C1C(O)=CC=C2O
3.1022,CC1=C(C#C)C(=O)C(=O)C2=C1N=C(C)N=NS2
3.1292,CC1C=CC(=O)C(=O)S(=O)(=O)C(=O)C1=O
