Voltage,SMILES
2.95,O=C1C2=C(O)C=CC(O)=C2C(=O)C2=C1C(=O)C1=C(C2=O)C(=O)C2=C(C1=O)C(=O)C1=C(C2=O)C(O)=CC=C1O
2.4,O=C(C1=C(C(S(=O)(O[Na])=O)=CC=C1)C2=O)C3=C2C=CC=C3S(=O)(O[Na])=O
2.4,OC(C1=C2C=CC=C1S(=O)(O)=O)=C3C(C(S(=O)(O)=O)=CC=C3)=C2O
2.25,O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2S(=O)(=O)O[Na]
2.25,OC(C1=C2C=CC=C1S(=O)(O)=O)=C3C(C=CC=C3)=C2O
2.34,O=C1C(O)=C(C2=C(O)C(=O)C3=C(C=CC=C3)C2=O)C(=O)C2=C1C=CC=C2
2.34,OC1=C(C(C2=C(O)C(C=CC=C3)=C3C(O)=C2O)=C(C4=C1C=CC=C4)O)O
2.8,CC1=CC(=O)C(C2=CC(=O)[C@@H](C)CC2=O)=CC1=O
2.4,O=C1C=C(C2=CC(=O)C3=C(C=CO3)C2=O)C(=O)C2=C1OC=C2
2.4,OC1=CC(C2=C(O)C(C=CO3)=C3C(O)=C2)=C(C4=C1OC=C4)O
2.3,O=C1C=C(C2=CC(=O)C3=C(C=CC=C3)C2=O)C(=O)C2=C1C=CC=C2
2.3,OC1=CC(C2=C(O)C(C=CC=C3)=C3C(O)=C2)=C(C4=C1C=CC=C4)O
2.72,O=C1C2=C(C=CC=C2)C(=S)C2=C1C=CC=C2
2.52,O=C1C(=O)C2=C(C=CC=C2)C2=CC=CC=C12
2.52,OC1=C(C2=C(C3=CC=CC=C13)C=CC=C2)O
2.75,O=C1C2=NC=CN=C2C(=O)C2=C1N=CC=N2
2.75,OC1=C2N=CC=NC2=C(C3=C1N=CC=N3)O
2.94,O=C1C(=O)C2=C(C=CCN2)C2=CC=CN=C12
2.73,O=C1C(=O)C2=C(N=CC=C2)C2=NC=CC=C12
2.73,OC1=C(C2=C(C3=NC=CC=C13)N=CC=C2)O
2.1,O=C1C(C(C(C1=O)=O)=O)=O
2.1,O=C1C(C(O)=C(C1=O)O)=O
2.1,O=C1C(C(O[Li])=C(C1=O)O[Li])=O
2.9,O=C1C(C(O)=O)=CC=C(C(O)=O)C1=O
2.9,O=C(C1=CC=C(C(O[Li])=C1O[Li])C(O[Li])=O)O[Li]
2.9,O=C(C1=CC=C(C(O)=C1O)C(O[Li])=O)O[Li]
2.9,O=C(O)C1=CC=C(C(O)=O)C(O)=C1O
2.9,O=C(C1=CC=C(C(C1=O)=O)C(O[Li])=O)O[Li]
1.79,O=C(C1=CC2=C(C(O[Li])=C3C(C=CC(C(O[Li])=O)=C3)=C2O[Li])C=C1)O[Li]
1.79,O=C(C1=CC2=C(C(O)=C3C(C=CC(C(O[Li])=O)=C3)=C2O)C=C1)O[Li]
1.79,O=C(C1=CC2=C(C(C3=C(C2=O)C=CC(C(O[Li])=O)=C3)=O)C=C1)O[Li]
2.11,O=C1C2=CC(C(O)=O)=CC=C2C(C=CC(C(O)=O)=C3)=C3C1=O
2.11,O=C(C1=CC=C2C(C(O[Li])=C(C3=C2C=CC(C(O[Li])=O)=C3)O[Li])=C1)O[Li]
2.11,O=C(C1=CC=C2C(C(O)=C(C3=C2C=CC(C(O[Li])=O)=C3)O)=C1)O[Li]
2.11,O=C(C1=CC=C2C(C(C(C3=C2C=CC(C(O[Li])=O)=C3)=O)=O)=C1)O[Li]
2.39,O=C(C1=CC2=C3C(C(O[Li])=C(C4=C3C(C(O[Li])=C2O[Li])=CC(C(O[Li])=O)=C4)O[Li])=C1)O[Li]
2.39,O=C(C1=CC2=C3C(C(O)=C(C4=C3C(C(O)=C2O)=CC(C(O[Li])=O)=C4)O)=C1)O[Li]
2.39,O=C(O)C1=CC2=C3C(C(O)=C(O)C4=C3C(C(O)=C2O)=CC(C(O)=O)=C4)=C1
2.39,O=C(C1=CC2=C3C(C(C(C4=C3C(C(C2=O)=O)=CC(C(O[Li])=O)=C4)=O)=O)=C1)O[Li]
2.4,O=C1C(C(C(O)=C(C1=O)O)=O)=O
2.4,O=C1C(C(C(O[Li])=C(C1=O)O[Li])=O)=O
2.5,CC1=CC(=O)C(C)=CC1=O
2.5,OC(C=C1C)=C(C=C1O)C
3,O=C1CC(C(F)(F)F)C(=O)C=C1C(F)(F)F
3,OC(C=C1C(F)(F)F)=C(C=C1O)C(F)(F)F
3.1,O=C(C=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=CC1=O
3.1,OC(C=C1C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)=C(C=C1O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F
3.1,O=C(C(C(F)(C(F)(C(F)(C(F)(C(F)(F)C(F)(F)F)F)F)F)F)=C(Cl)C1=O)C(Cl)=C1C(F)(C(F)(C(F)(C(F)(C(F)(F)C(F)(F)F)F)F)F)F
3.1,OC(C(Cl)=C1C(C(C(C(C(F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)=C(C(Cl)=C1O)C(C(C(C(C(F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F
2.6,O=C(C=C1CC2=CC3=O)C(CC(C(C=C4CC(C(C=C5CC(C(C=C6CC3=CC2=O)=O)=CC6=O)=O)=CC5=O)=O)=CC4=O)=CC1=O
2.6,OC(C=C1CC(C=C2O)=C(O)C=C2CC3=C(O)C=C(C(O)=C3)CC4=C(O)C=C(C(O)=C4)C5)=C(C=C1O)CC6=CC(O)=C5C=C6O
2.77,O=C1C=CC(=O)C2=C3C(=O)C=CC(=O)C3=CC=C12
2.77,OC1=CC=C(C2=C3C(O)=CC=C(C3=CC=C12)O)O
3.05,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl
2.5,CCCCCCN1C(=O)C2=CC=C3C(=O)N(CCCCCC)C(=O)C4=CC=C(C1=O)C2=C34
2.3,CCCCCCN1C(=O)C2=CC(N(C)C)=C3C(=O)N(CCCCCC)C(=O)C4=CC(N(C)C)=C(C1=O)C2=C43
2.6,CCCCCCN1C(=O)C2=CC(F)=C3C(=O)N(CCCCCC)C(=O)C4=CC(F)=C(C1=O)C2=C43
2.8,CCCCCCN1C(=O)C2=CC(C#N)=C3C(=O)N(CCCCCC)C(=O)C4=CC(C#N)=C(C1=O)C2=C43
2.55,O=C1NC(=O)C2=CC=C3C(=O)NC(=O)C4=CC=C1C2=C43
2.4,CN(C)C1=C2C(=O)NC(=O)C3=CC(N(C)C)=C4C(=O)NC(=O)C(=C1)C4=C32
2.9,N#CC1=C2C(=O)NC(=O)C3=CC(C#N)=C4C(=O)NC(=O)C(=C1)C4=C32
2.35,O=C(C1=CC=C2C3=CC=C4C(N(C(C5=C4C3=C(C6=C2C1=C(C7=O)C=C6)C=C5)=O)C8=CC=C(C(O)=O)C=C8)=O)N7C9=CC=C(C(O)=O)C=C9
2.7,O=C(O1)C2=CC=C3C4=CC=C5C(OC(C6=C5C4=C(C=C6)C7=C3C2=C(C=C7)C1=O)=O)=O
2.68,O=C(N1)C2=CC=C3C4=CC=C5C(NC(C6=C5C4=C(C=C6)C7=C3C2=C(C=C7)C1=O)=O)=O
2.48,CC1=C(C=C2N(C)C3=NC(NC(C3=NC2=C1)=O)=O)C
2.54,CC1=C(C)C=C2C(N=C3C(NC(N=C3N2C[C@H](O)[C@H](O)[C@H](O)CO)=O)=O)=C1
2.43,CC1=C(C)C=C2N=C3C(=O)NC(=O)NC3=NC2=C1
2.2,O=C1C2=CC(S(=O)(O[Na])=O)=CC=C2N/C1=C3NC4=C(C/3=O)C=C(C=C4)S(=O)(O[Na])=O
2.05,ClC(C(O[Li])=C1O[Li])=C(C(O[Li])=C1Cl)O[Li]
2.05,OC1C(O[Li])=C(C(C(O[Li])=C1Cl)O)Cl
2.05,O=C1C(O[Li])=C(C(C(O[Li])=C1Cl)=O)Cl
0.8,[Li]O/C(O[Li])=C1C=C/C(C=C/1)=C(O[Li])\O[Li]
0.8,O/C(O[Li])=C(C=C/1)/C=CC1=C(O)\O[Li]
0.8,O=C(O[Li])C(C=C1)=CC=C1C(O[Li])=O
1.35,[Li]O/C(O[Li])=C/C=C/C=C(O[Li])/O[Li]
1.35,O/C(O[Li])=C\C=C\C=C(O)\O[Li]
1.35,O=C(O[Li])/C=C/C=C/C(O[Li])=O
1,[Li]OC(O[Li])C1=CC=C(C(O[Li])O[Li])S1
1,OC(O[Li])C1=CC=C(S1)C(O)O[Li]
1,O=C(O[Li])C1=CC=C(S1)C(O[Li])=O
1,[Li]OC(O[Li])C#CC1=CC=C(C=C1)C#CC(O[Li])O[Li]
1,OC(O[Li])C#CC(C=C1)=CC=C1C#CC(O)O[Li]
1,O=C(O[Li])C#CC(C=C1)=CC=C1C#CC(O[Li])=O
0.83,[Li]OC(O[Li])C1=CC2=CC=C(C=C2C=C1)C(O[Li])O[Li]
0.83,OC(O[Li])C(C=C1C=C2)=CC=C1C=C2C(O)O[Li]
0.83,O=C(O[Li])C(C=C1C=C2)=CC=C1C=C2C(O[Li])=O
1.1,[Li]OC(O[Li])C1=C2C(C3=CC=C2C(O[Li])O[Li])=C(C4=CC=C(C(O[Li])O[Li])C5=C4C3=CC=C5C(O[Li])O[Li])C=C1
1.1,OC(O[Li])C1=CC=C2C3=C(C4=CC=C(C(O)O[Li])C5=C4C2=CC=C5C(O)O[Li])C=CC(C(O)O[Li])=C31
1.1,O=C(O[Li])C1=CC=C2C3=C(C4=CC=C(C(O[Li])=O)C5=C4C2=CC=C5C(O[Li])=O)C=CC(C(O[Li])=O)=C31
2.4,O=C(C1=CC(C(C(O[Li])=O)=CC1=O)=O)O[Li]
2.4,O=C(C1=CC(O)=C(C=C1O)C(O[Li])=O)O[Li]
2.4,O=C(O)C1=CC(O)=C(C(O)=O)C=C1O
2.4,O=C(C1=CC(O[Li])=C(C=C1O[Li])C(O[Li])=O)O[Li]
0.6,[Li]OC(C1=CC=C(C=C1)C2=CC=C(C=C2)C(O[Na])O[Li])O[Na]
0.6,OC(C1=CC=C(C=C1)C2=CC=C(C=C2)C(O[Na])O)O[Na]
0.6,O=C(C1=CC=C(C=C1)C2=CC=C(C=C2)C(O[Na])=O)O[Na]
0.95,[Li]OC(O[Na])/C=C/C1=CC=C(C2=CC=C(C=C2)/C=C/C(O[Li])O[Na])C=C1
0.95,OC(O[Na])/C=C/C1=CC=C(C2=CC=C(C=C2)/C=C/C(O)O[Na])C=C1
0.95,O=C(O[Na])/C=C/C1=CC=C(C2=CC=C(C=C2)/C=C/C(O[Na])=O)C=C1
1.66,[Li]OC1=C(O[Na])C=C(O[Li])C(O[Na])=C1
1.66,OC1=C(O[Na])C=C(O)C(O[Na])=C1
1.66,O=C1C=C(C(C=C1O[Na])=O)O[Na]
1.66,O=C1C=C(O)C(C=C1O)=O
1.35,O=C1C2=C(C=CC=C2O)C(C=C1)=O
1.35,OC1=CC=C(O)C2=C1C(O)=CC=C2
1.04,[Li]OC(O[Na])C1=CC=C(C=C1)/C=C/C2=CC=C(C(O[Li])O[Na])C=C2
1.04,OC(O[Na])C1=CC=C(C=C1)/C=C/C2=CC=C(C(O)O[Na])C=C2
1.04,O=C(O[Na])C1=CC=C(C=C1)/C=C/C2=CC=C(C(O[Na])=O)C=C2
1.58,O=C1N(C(O[Li])=C2C=C3C(C=C12)=C(N(C3=O)[Na])O[Li])[Na]
1.58,O=C1N(C(O)=C2C=C3C(C=C12)=C(N(C3=O)[Na])O)[Na]
1.58,O=C1N(C(C2=CC(C3=O)=C(C(N3[Na])=O)C=C12)=O)[Na]
1.08,O=C(O[Na])C1=CC=C(/C=N/C2=CC=C(C=C2)/N=C/C3=CC=C(C(O[Na])=O)C=C3)C=C1
1.21,O=C(O[Na])C1=CC=C(C=C1)N(/C=C2C=C/C(C=C\2)=C/N(C3=CC=C(C=C3)N(/C=C4C=C/C(C=C\4)=C/N(C5=CC=C(C(O[Na])=O)C=C5)[Li])[Li])[Li])[Li]
1.21,O=C(O[Na])C1=CC=C(C=C1)N/C=C2C=C/C(C=C\2)=C/NC3=CC=C(C=C3)N/C=C4C=C/C(C=C\4)=C/NC5=CC=C(C(O[Na])=O)C=C5
1.21,O=C(O[Na])C1=CC=C(C=C1)/N=C/C2=CC=C(C=C2)/C=N/C3=CC=C(C=C3)/N=C/C4=CC=C(/C=N/C5=CC=C(C(O[Na])=O)C=C5)C=C4
2.14,CCCN1C(C2=CC3=C(C(N(C)C3=O)=O)C=C2C1=O)=O
2.15,CN1C(C2=C(C1=O)C=C3C(N(C(C3=C2)=O)CCN(CCC)CCC)=O)=O
2.59,CC(CCOC(C1=CC(C(C2=C3C=CC=C2)=O)=C(C3=O)C=C1)=O)(C(OCC(COC(C(CCOC(C4=CC(C(C5=C6C=CC=C5)=O)=C(C6=O)C=C4)=O)(C)CCOC(C7=CC(C(C8=C9C=CC=C8)=O)=C(C9=O)C=C7)=O)=O)(N%10C(C%11C(C=C)CC(C%11C%10=O)C=C)=O)C)=O)CCOC(C%12=CC(C(C%13=C%14C=CC=C%13)=O)=C(C%14=O)C=C%12)=O
2.41,CC(CC)C1=CC2=C(C(C3=C(C2=O)SC=C3)=O)S1
2.31,N#C/N=C1C2=C(C(C3=CC=CC=C3\1)=O)C=C(C(C)CC)C=C2
2.5,OC(C(C(C)=C(C1=O)O)=O)=C1SC
2.05,CC1=C(O[Li])C(O[Li])=C(SC)C(O[Li])=C1O[Li]
2.05,CC1=C(O[Li])C(O)=C(SC)C(O[Li])=C1O
2.05,CC(C(C(O[Li])=C1SC)=O)=C(O[Li])C1=O
2.14,CC1=CC=CC2=C1C(C3=C(C(SC)=CC=C3)C2=O)=O
2.09,CC1=CC=CC2=C1C(C3=C(C(C)=CC=C3)C2=O)=O
2.14,O=C(C1=C(C(C)=CC=C1C)C2=O)C3=C2C=CC=C3
2.75,CC(C(C=C1SC)=O)=CC1=O
2.27,O=C(N1C2=CC=C(C(C(C=C(C)C=C3)=C3C4=O)=O)C4=C2)C5=CC6=C(C=C5C1=O)C(N(C)C6=O)=O
2.31,O=C1N(C(C2=CC=C(C(N3C)=O)C4=C2C1=CC=C4C3=O)=O)C5=CC=C(C6=C5)C(C7=C(C6=O)C=CC(C)=C7)=O
2.2,CC1=CC(O)=C(C=C1O)NC
2.7,O=C1C=CC(=O)C=C1
2.7,OC1=CC=C(O)C=C1
2.7,COC1=CC(=O)C(OC)=CC1=O
2.7,COC1=C(O)C=C(OC)C(O)=C1
2.8,O=C1C=CC(=O)C(C2=CC(=O)C=CC2=O)=C1
2.8,OC1=CC=C(C(C2=C(O)C=CC(O)=C2)=C1)O
2.77,O=C1C=CC(=O)C2=C1C=CC1=C2C(=O)C=CC1=O
2.6,CC1=CC(C=C(C1=O)CC2=CC(C=C(C2=O)CC3=CC(C=C(C3=O)CC4=CC(C=C(C4=O)CC)=O)=O)=O)=O
2.6,O=C(C(C)=CC1=O)C=C1CC(C(C=C2CC(C(C=C3CC(C(C=C4CC(C(C=C5CC)=O)=CC5=O)=O)=CC4=O)=O)=CC3=O)=O)=CC2=O
2.25,O=C1C(C)=C(C(C(SC)=C1O)=O)O
2,CC(C(O[Li])=C1O[Li])=C(O[Li])C(O[Li])=C1SC
2,OC1=C(O[Li])C(SC)=C(O)C(O[Li])=C1C
2,O=C1C(C)=C(O[Li])C(C(SC)=C1O[Li])=O
2.5,O=C1C(N2C(=O)C3=C(C=CC=C3)C2=O)=C(N2C(=O)C3=C(C=CC=C3)C2=O)C(=O)C(N2C(=O)C3=C(C=CC=C3)C2=O)=C1N1C(=O)C2=C(C=CC=C2)C1=O
2.4,[Li]OC1=CC(O[Li])=C(C2=CC=CC=C12)O[Li]
2.4,O=C1C=C(C(C2=CC=CC=C12)=O)O
2.4,OC1=CC(O[Li])=C(C2=CC=CC=C12)O
2.71,O=C1C2=C(C=NC=C2)C(=O)C2=C1C=NC=C2
2.71,OC1=C2C(C=NC=C2)=C(C3=C1C=NC=C3)O
2.1,CC1=CC=C(C)C2=C1C(=O)C1=C(C=CC=C1)C2=O
2.5,CC1=CC=C(SC)C2=C(O[Li])C3C(O[Li])=CC=C(O[Li])C3C(O[Li])=C12
2.5,CC1=CC=C(SC)C2=C(O)C3C(O[Li])=CC=C(O[Li])C3C(O)=C12
2.5,CC1=C2C(C3C(O[Li])=CC=C(O[Li])C3C(C2=C(SC)C=C1)=O)=O
2.4,CN/C=C1/C(=O)C(=CNC2=CC3=C(C=C2)C(=O)C2=C(C=CC(C)=C2)C3=O)C(=O)/C(=C/NC)C1=O
2.5,CC1=CC2=C(C(C3=C(C2=O)SC(C)=C3)=O)S1
2.8,N#CC(C#N)=C1C=CC(=C(C#N)C#N)C=C1
3.1,N#CC(C#N)=C1C=C(F)/C(=C(\F)C#N)C=C1F
3.15,N#CC(C#N)=C1C(F)=C(F)C(=C(C#N)C#N)C(F)=C1F
2.94,O=C1C(=O)C2=C(C=CC=N2)C2=C1N=CC=C2
2.74,O=C1C(=O)C2=C(N=CC=C2)C2=C1C=CC=N2
2.59,O=C1C(=O)C2=CC=CC3=C2C2=C(C=CC=C12)C(=O)C3=O
2.5,CC1=C2C=CNC2=C(C)C(C1=O)=O
0.65,[Li]OC(C1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O[Li])O[Li])O[Li]
0.65,OC(C1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O[Li])O)O[Li]
0.65,O=C(C1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O[Li])=O)O[Li]
2.1,O=C(C(O[Li])=C(C1=O)O[Li])C(O[Li])=C1O[Li]
2.1,OC1=C(C(C(O[Li])=C(C1=O)O[Li])=O)O
2.1,O=C1C(C(C(O[Li])=C(C1=O)O[Li])=O)=O
1.7,O=C1C(=O)C(=O)C(=O)C(=O)C1=O
2,C1=CC2=C(C=C1)N=C1C(=N2)C2=NC3=C(C=CC=C3)N=C2C2=NC3=C(C=CC=C3)N=C12
2.4,N#CC1=NC2=C(N=C1C#N)C1=C(N=C(C#N)C(C#N)=N1)C1=C2N=C(C#N)C(C#N)=N1
2.4,O=C(O)C1=CC=C(N2C(=O)C3=CC=C4C5=CC=C6C(=O)N(C7=CC=C(C(=O)O)C=C7)C(=O)C7=C6C5=C(C=C7)C5=CC=C(C2=O)C3=C45)C=C1
1.4,O=C(C1=CC=C(N(N(C2=CC=CC=C2)[Li])[Li])C=C1)O[Li]
1.4,O=C(C1=CC=C(NNC2=CC=CC=C2)C=C1)O[Li]
1.4,O=C(C1=CC=C(/N=N/C2=CC=CC=C2)C=C1)O[Li]
2.5,COC1=C(O[Li])C(O[Li])=C(OC)C(O[Li])=C1O[Li]
2.5,COC1=C(O)C(O[Li])=C(OC)C(O)=C1O[Li]
