SMILES,Voltage
N#CC(C#N)=c1c([H])c([H])c(=C(C#N)C#N)c([H])c1[H],2.8
C(c1c(C([H])([H])[H])c(=O)nc2c(n1)OC(=O)C(=O)C2=O)([H])([H])[H],3.1225
Clc1c([H])c(Cl)c(Cl)c2c1/C(=N/S(=O)(=O)C([H])([H])[H])c1c(c(Cl)c(Cl)c(Cl)c1Cl)/C2=N\S(=O)(=O)C([H])([H])[H],2.568714259
O=C1c2c([H])c([H])c3c4c([H])c([H])c5c6c(c([H])c([H])c(c46)c4c3c2c(c([H])c4[H])C(=O)N1c1c([H])c([H])c(N(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])C(=O)N(c1c([H])c([H])c(N(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])C5=O,3.7
N#CC(C#N)=C1C([H])=C([H])C(C(C#N)(C#N)[H])([H])C([H])=C1[H],2.9
O=C1c2c3c4c([H])c([H])c5c3c(c([H])c2[H])C(=O)N(C5=O)[C@]2([H])[C@@]([H])(n3c(=O)c5c(c3=O)c([H])c3c(c5[H])c(=O)n(c3=O)[C@]3([H])[C@@]([H])(N5C(=O)c6c7c8c(c([H])c6[H])C(=O)N([C@]6([H])[C@@]([H])(N1C4=O)C([H])([H])C([H])([H])C([H])([H])C6([H])[H])C(=O)c8c([H])c([H])c7C5=O)C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],2.15
C(C1=C(C([H])([H])[H])C(=N\S(=O)(=O)C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c1c1c(c(C([H])([H])[H])c2C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H])([H])([H])[H],2.481648664
O=c1c(C([H])([H])[H])c(C([H])([H])[H])c(=O)c2c(=O)c(=O)c([H])c(C([H])([H])[H])c1=2,3.212837773
C(Sc1c([H])c2c(c([H])c1[H])OC([H])([H])N(c1c([H])c([H])c([H])c([H])c1[H])C2([H])[H])([H])([H])[H],2.0
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C(N([H])[H])=C([H])c2c\1c(N([H])[H])c(N([H])[H])c1c2c(N([H])[H])c([H])c(N([H])[H])c1[H])([H])([H])[H],2.360046359
O=C1c2c([H])c([H])c3c4c([H])c([H])c5c6c(c([H])c([H])c(c46)c4c3c2c(c([H])c4[H])C(=O)N1c1c([H])c([H])c(C(O[H])=O)c([H])c1[H])C(=O)N(c1c([H])c([H])c(C(O[H])=O)c([H])c1[H])C5=O,2.35
O(C1=C(O[H])C(O[Li])=C1O[Li])[H],0.8
O=C1C(=O)c2c(c([H])c([H])c([H])c2[H])-c2c1c([H])c([H])c([H])c2[H],2.61
C(Oc1c([H])c([H])c([H])c2c1C(=O)C(=O)C([H])=C2[H])([H])([H])[H],2.37396038
C(S(=O)(=O)/N=C1\C(F)=c2c(c(F)c3c(c2[H])c(F)c(F)c(F)c3F)=C(F)\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.532226395
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C(N([H])[H])=C([H])c2c(N([H])[H])c(N([H])[H])c3c(c2\1)c(N([H])[H])c([H])c(N([H])[H])c3N([H])[H])([H])([H])[H],2.372041144
O=C(c1c([H])c([H])c2c(c1[H])N(c1c([H])c([H])c([H])c([H])c1[H])c1c(c([H])c([H])c([H])c1[H])N2c1c([H])c([H])c([H])c([H])c1[H])[H],3.44
C(S(=O)(=O)/N=C1\C(N([H])[H])=c2c(c([H])c(N([H])[H])c3c2c(N([H])[H])c(N([H])[H])c(N([H])[H])c3[H])=C(N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.411334406
C(c1c(C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c2c([H])c(C([H])([H])[H])c3c(c12)/C(=N/S(=O)(=O)C([H])([H])[H])C([H])=C(C([H])([H])[H])/C3=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.323441584
N#CC(C#N)=C1C(C([H])([H])[H])=C([H])C(C(C#N)(C#N)[H])([H])C(C([H])([H])[H])=C1[H],2.9
C(S(=O)(=O)/N=C1\C([H])=C(C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c(C([H])([H])[H])c(C([H])([H])[H])c3c(c21)c(C([H])([H])[H])c(C([H])([H])[H])c([H])c3C([H])([H])[H])([H])([H])[H],2.301933694
O=C1c2c(c([H])c([H])c([H])c2O[H])C(=O)C([H])=C1[H],1.35
C(c1c([H])c2c(s1)C(=O)c1c(sc(C([H])([H])[H])c1[H])C2=O)([H])([H])[H],2.5
C(Oc1c([H])c([H])c([H])c2c1c([H])c1c(c2[H])C([H])=C([H])C(=O)C1=O)([H])([H])[H],2.350014348
O=C1c2c([H])c(C([H])([H])[H])c([H])c([H])c2C(=O)c2c1c(O[Li])c1c(c2O[Li])C2([H])C([H])([H])C1([H])C([H])([H])C2([H])[H],3.35
O=C(c1c([H])c([H])c(C#Cc2c([H])c([H])c(C(O[Li])=O)c([H])c2[H])c([H])c1[H])O[Li],0.65
O=C1C(Cl)=C(N(C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[H])C(=O)C(Cl)=C1N(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[H],2.5
N#Cc1c2c(c([H])c([H])c([H])c2[H])c(C#N)c2c1c([H])c([H])c([H])c2[H],1.73
C(S(=O)(=O)/N=C1\C(C#N)=c2c(c([H])c([H])c3c2c([H])c([H])c([H])c3C#N)=C(C#N)\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.715663885
C(C(C(C(C(C(N1C(=O)c2c([H])c([H])c3c4c(c([H])c([H])c(c24)C1=O)C(=O)N(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C3=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],2.5
O=C(O[Na])c1c([H])c([H])c(/C(=C(/c2c([H])c([H])c(C(O[Na])=O)c([H])c2[H])[H])[H])c([H])c1[H],1.04
C(S(=O)(=O)/N=C1\C([H])=C(N([H])[H])c2c(c(N([H])[H])c3c(c2[H])c([H])c(N([H])[H])c(N([H])[H])c3N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.070310257
C(S(=O)(=O)/N=C1/C(Cl)=c2c(c3c(c(Cl)c2[H])c(Cl)c([H])c(Cl)c3Cl)=C([H])/C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.292537499
O=c1c(=O)c(O[H])c(O[H])c1=O,2.1
O=S(OC(C([H])([H])[H])([H])[H])C(S(OC(C([H])([H])[H])([H])[H])=O)=c1c([H])c([H])c(=C(S(OC(C([H])([H])[H])([H])[H])=O)S(OC(C([H])([H])[H])([H])[H])=O)c([H])c1[H],3.13
O=C(c1c([H])nc(C(O[Li])=O)c([H])n1)O[Li],1.2
O(C1([H])N([H])C(=O)c2nc3c([H])c([H])c([H])c([H])c3nc2N1[H])[H],1.9
O(N=C1C([H])=C([H])C(=NO[H])C([H])=C1[H])[H],3.1
C(c1c(C(N([H])[H])([H])[H])c(=O)c2nnc(=O)c=2c1=O)([H])([H])[H],3.3792
