Voltage,SMILES,smiles,Voltage_Binned
2.8,N#CC(C#N)=C1C=CC(=C(C#N)C#N)C=C1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,medium
3.1225,CC1=C(C)C(=O)N=C2C(=O)C(=O)C(=O)OC2=N1,Cc1nc2c(nc(=O)c1C)C(=O)C(=O)C(=O)O2,medium
2.568714259,Clc1cc(Cl)c(Cl)c(C\2=N\S(=O)(=O)C)c1C(=N\S(=O)(=O)C)\c(c23)c(Cl)c(Cl)c(Cl)c3Cl,CS(=O)(=O)/N=C1/c2c(Cl)cc(Cl)c(Cl)c2/C(=N/S(C)(=O)=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,low
3.7,O=C1C2=CC=C3C4=CC=C5C(N(C(C6=C5C4=C(C7=C3C2=C(C(N1C8=CC=C(C=C8)N(C9=CC=CC=C9)C%10=CC=CC=C%10)=O)C=C7)C=C6)=O)C%11=CC=C(C=C%11)N(C%12=CC=CC=C%12)C%13=CC=CC=C%13)=O,O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N(c2ccccc2)c2ccccc2)cc1)c64)C(=O)N(c1ccc(N(c2ccccc2)c2ccccc2)cc1)C5=O,high
2.9,N#CC(C#N)=C1C=CC(C(C#N)C#N)C=C1,N#CC(C#N)=C1C=CC(C(C#N)C#N)C=C1,medium
2.15,O=C(C1=C2C3=CC=C(C([N@]4[C@@H]5[C@@H]([N@@](C6=O)C(C7=C6C=C8C9=C7)=O)CCCC5)=O)C2=C(C4=O)C=C1)[N@@](C3=O)[C@@H]%10[C@@H]([N@](C%11=O)C(C%12=C%13C%11=CC=C%14C%13=C(C([N@]([C@H]%15CCCC[C@@H]%15[N@@](C8=O)C9=O)C%14=O)=O)C=C%12)=O)CCCC%10,O=C1c2ccc3c4c5ccc(c24)C(=O)N1[C@H]1CCCC[C@@H]1N1C(=O)c2ccc4c6c(ccc(c26)C1=O)C(=O)N(C4=O)[C@H]1CCCC[C@@H]1n1c(=O)c2cc4c(=O)n(c(=O)c4cc2c1=O)[C@H]1CCCC[C@@H]1N(C3=O)C5=O,low
2.481648664,CC1=C(C)/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c(c1c23)c(C)c(C)c3cccc2C,CC1=C(C)c2c(c(C)c(C)c3cccc(C)c23)C(=N/S(C)(=O)=O)/C1=N/S(C)(=O)=O,low
3.212837773,O=c1c(C)c(C)c(=O)c(c12)c(=O)c(=O)cc2C,Cc1c(C)c(=O)c2c(=O)c(=O)cc(C)c=2c1=O,medium
2.0,CSC1=CC2=C(OCN(C2)C3=CC=CC=C3)C=C1,CSc1ccc2c(c1)CN(c1ccccc1)CO2,low
2.360046359,CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc2c1c(N)c(N)c(c23)cc(N)cc3N,CS(=O)(=O)/N=C1C(=N\S(C)(=O)=O)\C(N)=Cc2c\1c(N)c(N)c1cc(N)cc(N)c21,low
2.35,O=C(C1=CC=C2C3=CC=C4C(N(C(C5=C4C3=C(C6=C2C1=C(C7=O)C=C6)C=C5)=O)C8=CC=C(C(O)=O)C=C8)=O)N7C9=CC=C(C(O)=O)C=C9,O=C(O)c1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(C(=O)O)cc2)C6=O)cc1,low
0.8,OC1=C(O)C(O[Li])=C1O[Li],[Li]OC1=C(O[Li])C(O)=C1O,very low
2.61,O=C1C(=O)C2=C(C=CC=C2)C2=C1C=CC=C2,O=C1C(=O)c2ccccc2-c2ccccc21,low
2.37396038,COc1cccc(c12)C=CC(=O)C2=O,COc1cccc2c1C(=O)C(=O)C=C2,low
3.532226395,CS(=O)(=O)/N=C(C1F)/C(=N\S(=O)(=O)C)C(F)=c(c2F)c=1cc(c23)c(F)c(F)c(F)c3F,CS(=O)(=O)/N=C1\C(F)=c2cc3c(F)c(F)c(F)c(F)c3c(F)c2=C(F)\C1=N\S(C)(=O)=O,high
2.372041144,CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc(c(N)c2N)c1c(c23)c(N)cc(N)c3N,CS(=O)(=O)/N=C1C(=N\S(C)(=O)=O)\C(N)=Cc2c(N)c(N)c3c(N)c(N)cc(N)c3c2\1,low
3.44,O=CC1=CC=C(N(C2=CC=CC=C2N3C4=CC=CC=C4)C5=CC=CC=C5)C3=C1,O=Cc1ccc2c(c1)N(c1ccccc1)c1ccccc1N2c1ccccc1,medium
2.411334406,CS(=O)(=O)\N=C(C1N)\C(=N/S(=O)(=O)C)C(N)=c(c=1c23)cc(N)c2cc(N)c(N)c3N,CS(=O)(=O)/N=C1/C(N)=c2cc(N)c3cc(N)c(N)c(N)c3c2=C(N)/C1=N\S(C)(=O)=O,low
2.323441584,Cc1c(C)c(C)c(C)c2cc(C)c(c3c12)C(=N\S(=O)(=O)C)\C(C)=CC\3=N/S(=O)(=O)C,CC1=C/C(=N\S(C)(=O)=O)c2c(c(C)cc3c(C)c(C)c(C)c(C)c23)/C1=N/S(C)(=O)=O,low
2.9,N#C/C(C#N)=C1C(C)=CC(C(C)=C/1)C(C#N)C#N,CC1=CC(C(C#N)C#N)C(C)=CC1=C(C#N)C#N,medium
2.301933694,CS(=O)(=O)\N=C\1C=C(C)/C(=N\S(=O)(=O)C)c(c(C)c2C)c1c(c23)c(C)c(C)cc3C,CC1=C/C(=N\S(C)(=O)=O)c2c(c(C)c(C)c3c(C)cc(C)c(C)c23)/C1=N/S(C)(=O)=O,low
1.35,O=C1C2=C(C=CC=C2O)C(C=C1)=O,O=C1C=CC(=O)c2c(O)cccc21,very low
2.5,CC1=CC2=C(C(C3=C(C2=O)SC(C)=C3)=O)S1,Cc1cc2c(s1)C(=O)c1cc(C)sc1C2=O,low
2.350014348,COc1cccc(c12)cc3c(c2)C(=O)C(=O)C=C3,COc1cccc2cc3c(cc12)C(=O)C(=O)C=C3,low
3.35,O=C1C2=CC(C)=CC=C2C(C3=C1C(O[Li])=C4C(C5)CCC5C4=C3O[Li])=O,[Li]Oc1c2c(c(O[Li])c3c1C1CCC3C1)C(=O)c1cc(C)ccc1C2=O,medium
0.65,O=C(C1=CC=C(C=C1)C#CC2=CC=C(C=C2)C(O[Li])=O)O[Li],[Li]OC(=O)c1ccc(C#Cc2ccc(C(=O)O[Li])cc2)cc1,very low
2.5,O=C1C(Cl)=C(C(C(Cl)=C1NC2CCCCC2)=O)NC3CCCCC3,O=C1C(Cl)=C(NC2CCCCC2)C(=O)C(Cl)=C1NC1CCCCC1,low
1.73,N#CC1=C2C(C=CC=C2)=C(C#N)C3=C1C=CC=C3,N#Cc1c2ccccc2c(C#N)c2ccccc12,very low
3.715663885,CS(=O)(=O)/N=C(\C=1C#N)C(=N/S(=O)(=O)C)\C(C#N)=c2ccc(c3c12)c(C#N)ccc3,CS(=O)(=O)/N=C1/C(C#N)=c2ccc3c(C#N)cccc3c2=C(C#N)/C1=N\S(C)(=O)=O,high
2.5,CCCCCCN1C(=O)C2=CC=C3C(=O)N(CCCCCC)C(=O)C4=CC=C(C1=O)C2=C34,CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCC)C3=O,low
1.04,O=C(O[Na])C1=CC=C(C=C1)/C=C/C2=CC=C(C(O[Na])=O)C=C2,O=C(O[Na])c1ccc(/C=C/c2ccc(C(=O)O[Na])cc2)cc1,very low
2.070310257,CS(=O)(=O)\N=C(C=C1N)\C(=N/S(=O)(=O)C)\c(c2N)c1cc(c23)cc(N)c(N)c3N,CS(=O)(=O)/N=C1C(=N\S(C)(=O)=O)\C=C(N)c2cc3cc(N)c(N)c(N)c3c(N)c2\1,low
3.292537499,CS(=O)(=O)\N=C(\C1Cl)/C(=N/S(=O)(=O)C)C=c2c=1cc(Cl)c(c23)c(Cl)cc(Cl)c3Cl,CS(=O)(=O)/N=C1\C=c2c(cc(Cl)c3c(Cl)cc(Cl)c(Cl)c23)=C(Cl)\C1=N\S(C)(=O)=O,medium
2.1,O=C1C(C(O)=C(C1=O)O)=O,O=c1c(O)c(O)c(=O)c1=O,low
3.13,O=S(OCC)/C(S(OCC)=O)=C(C=C/1)\C=CC1=C(S(OCC)=O)\S(OCC)=O,CCOS(=O)C(=c1ccc(=C(S(=O)OCC)S(=O)OCC)cc1)S(=O)OCC,medium
1.2,O=C(C1=CN=C(C=N1)C(O[Li])=O)O[Li],[Li]OC(=O)c1cnc(C(=O)O[Li])cn1,very low
1.9,OC1NC(C2=NC3=CC=CC=C3N=C2N1)=O,O=C1NC(O)Nc2nc3ccccc3nc21,very low
3.1,O/N=C1C=C/C(C=C/1)=N\O,ON=C1C=CC(=NO)C=C1,medium
3.3792,CC1=C(CN)C(=O)C2=C(C(=O)N=N2)C1=O,Cc1c(CN)c(=O)c2nnc(=O)c=2c1=O,medium
3.98,OC1=CC=CC=C1N2C3=CC=CC=C3N(C4=CC=CC=C4)C5=CC=CC=C52,Oc1ccccc1N1c2ccccc2N(c2ccccc2)c2ccccc21,high
3.3,N#CC1=C(C(C(Cl)=C(C1=O)Cl)=O)C#N,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O,medium
2.360666779,COc1cc(OC)c(OC)c(c12)C=C(OC)C(=N/S(=O)(=O)C)\C\2=N\S(=O)(=O)C,COC1=Cc2c(OC)c(OC)cc(OC)c2C(=N\S(C)(=O)=O)/C1=N/S(C)(=O)=O,low
2.21361775,NC1=C(N)C(=O)C(N)=C(C1=O)N,NC1=C(N)C(=O)C(N)=C(N)C1=O,low
3.28,O=P(C1=CC=C(N2C3=CC=CC=C3N(C4=CC=CC=C4)C5=CC=CC=C52)C=C1)(O)O,O=P(O)(O)c1ccc(N2c3ccccc3N(c3ccccc3)c3ccccc32)cc1,medium
2.55,[Li]OC1=CC=C(O[Li])C=C1,[Li]Oc1ccc(O[Li])cc1,low
2.321787131,CS(=O)(=O)/N=C\1/C(=N/S(=O)(=O)C)C=Cc(c12)c(N)ccc2N,CS(=O)(=O)/N=C1\C=Cc2c(N)ccc(N)c2\C1=N/S(C)(=O)=O,low
2.9,C1=CC=C(P(SSSSP(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2)C=C1,c1ccc(P(SSSSP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,medium
3.1,CS(/N=C1C(NS(=O)(C)=O)=C/C(C=C/1)=N/S(=O)(C)=O)(=O)=O,CS(=O)(=O)/N=C1\C=C/C(=N\S(C)(=O)=O)C(NS(C)(=O)=O)=C1,medium
3.1,O=S(C1=CC(C(S(=O)(O[Li])=O)=CC1=O)=O)(O[Li])=O,[Li]OS(=O)(=O)C1=CC(=O)C(S(=O)(=O)O[Li])=CC1=O,medium
2.935589238,COC1C(=N/S(=O)(=O)C)\C(=N/S(=O)(=O)C)C(OC)=c2ccc(c3c=12)cccc3,COC1=c2ccc3ccccc3c2=C(OC)C(=N\S(C)(=O)=O)/C1=N\S(C)(=O)=O,medium
2.0,O=C(C(O[Li])=C(Cl)C1=O)C(Cl)=C1O[Li],[Li]OC1=C(Cl)C(=O)C(O[Li])=C(Cl)C1=O,low
2.4,CN1C(F)=NC2=C1C(N(C(N2C)=O)C)=O,Cn1c(=O)c2c(nc(F)n2C)n(C)c1=O,low
2.39,[Li]OC1=CC=C(O[Li])C2=C1C3=CC=CC=C3C=C2,[Li]Oc1ccc(O[Li])c2c1ccc1ccccc12,low
2.4,O=C1C(C(C(O[Li])=C(C1=O)O[Li])=O)=O,[Li]Oc1c(O[Li])c(=O)c(=O)c(=O)c1=O,low
2.355289807,CS(=O)(=O)/N=C(C1)\C(=N\S(=O)(=O)C)\C(N)=c2c=1cc(N)c(c23)c(N)c(N)c(N)c3N,CS(=O)(=O)/N=C1/C=c2cc(N)c3c(N)c(N)c(N)c(N)c3c2=C(N)/C1=N\S(C)(=O)=O,low
3.075483334,c1c(=O)c(=O)cc(c12)c(=O)c(N)c(c2=O)N,Nc1c(N)c(=O)c2cc(=O)c(=O)cc-2c1=O,medium
1.66,O=C1C=C(O)C(C=C1O)=O,O=C1C=C(O)C(=O)C=C1O,very low
2.05,CC1=C(O[Li])C(O)=C(SC)C(O[Li])=C1O,[Li]Oc1c(C)c(O)c(O[Li])c(SC)c1O,low
2.45,O=C(C(C)=CC1=O)C=C1NC,CNC1=CC(=O)C(C)=CC1=O,low
2.355378259,c1cccc(c1c23)ccc2C(=O)c4c(C3=O)cccc4,O=C1c2ccccc2C(=O)c2c1ccc1ccccc21,low
0.7,O=C1OC2=C3C(C(OC4=C3C1=CC(O)=C4O)=O)=CC(O)=C2O,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,very low
